contexto,palavra,classe,genero,correcao_classe,correcao_palavra,genero_derivacao,tipo_nome,correcao_genero,animacidade,marca_genero_raiz,marca_genero_desinencia,marca_genero_concord,forma_heteronimo,tipo_substantivo,qual_heteronimo
é                      qual era sua impressão acerca da,impressão,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
que eu não tinha tanta expectativa           assim dentro,expectativa,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
dentro da não           era univers   é um,univers,substantivo,['Masc'],,,-,-,-,-,-,-,-,-,-,
eu tipo eu tinha uma perce   é,perce,substantivo,['Masc'],,,-,-,-,-,-,-,-,-,-,
uma perce   é           percepção isso era era,percepção,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
tipo aqui não é beleza aqui é realmente,beleza,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
tipo                      conviver com o diferente           isso é,diferente,substantivo,['Masc'],,,não,impróprio,masculino,menos,sim,não,não,não,uniforme,
esse é o grande                      missão que a me,missão,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
com pessoas diferentes de           classes classes sociais diferentes,classes,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
classes sociais diferentes                      de gostos diferentes           de,gostos,substantivo,['Masc'],,,não,deverbal,masculino,menos,sim,não,não,não,uniforme,
gostos diferentes           de           ideias diferentes           acho,ideias,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
en   engloba um universo diferente           mas,universo,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
lá           meu pai é professor lá           então,professor,substantivo,['Masc'],,,não,comum,masculino,mais,não,sim,não,não,biforme,
com pessoas de mesmo interesse                      que querem,interesse,substantivo,['Masc'],,,não,deverbal,masculino,menos,sim,não,não,não,uniforme,
a   eu tinha a mente ti   tipo,mente,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
teve experiência de viver novos mundos           sim,mundos,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
nas matérias por ser           cálculo logo no início,cálculo,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
que a gente na escola não é preparado,escola,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
de forma diferente           estudava total   completamente diferente,total,substantivo,['Masc'],advérbio,,-,-,-,-,-,não,-,-,-,
eu não tinha           noção tipo eu não,noção,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
então foi           foi um choque muito grande quando,choque,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
pesquisa   ele é um pesquisador ele é um,pesquisador,substantivo,['Masc'],,,não,deverbal,masculino,mais,não,sim,não,não,biforme,
é um cara que faz doutorado           ele trabalha,doutorado,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
não se interessa em ter didática           e dá,didática,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
quer fazer           orientar os alunos dele de mestrado,alunos,substantivo,['Masc'],,,não,comum,masculino,mais,não,sim,não,não,biforme,
dane vou vou pegar esse p           esse power,p,substantivo,['Masc'],,,-,-,-,-,-,-,-,-,-,
pra poder se manter no mercado           professor aqui,mercado,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
não sei se é destino           não sei,destino,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
lutar contra a           a maré           a você,maré,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
o país estava naquele           ápice           de industrialização,ápice,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
naquele           ápice           de industrialização           fábricas indústrias,industrialização,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
ápice           de industrialização           fábricas indústrias           empregos,fábricas,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
de industrialização           fábricas indústrias           empregos pleno,indústrias,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
industrialização           fábricas indústrias           empregos pleno emprego,empregos,substantivo,['Masc'],,,não,deverbal,masculino,menos,sim,não,não,não,uniforme,
fábricas indústrias           empregos pleno emprego           a gente,emprego,substantivo,['Masc'],,,não,deverbal,masculino,menos,sim,não,não,não,uniforme,
a gente viveu uma época de pleno emprego,época,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
de tá em uma empresa de trabalhar dentro,empresa,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
de uma empresa no chão de fábrica nem,chão,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
uma empresa no chão de fábrica nem nada,fábrica,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
mas assim           as oportunidades aparecem           do,oportunidades,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
foi algo que eu   começo   que eu,começo,substantivo,['Masc'],,,não,deverbal,masculino,menos,sim,não,não,não,uniforme,
você quer ter           uma realização           enquanto profissional,realização,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
Cientista           sabe           minha formação é Cientista eu,formação,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
porque Engenheiro é aquele cara que tipo trabalha,cara,substantivo,['Masc'],,,não,comum,masculino,mais,sim,não,não,não,uniforme,
no dia a dia na prática           fazendo,prática,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
trabalha diretamente ligado à indústria           à fábrica,indústria,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
a gente é um estado que                      prioritariamente,estado,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
claro tipo           o sistema o           o,sistema,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
o sistema o           o setor agrário é muito,setor,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
importante           mas não trás desenvolvimento            infelizmente,desenvolvimento,substantivo,['Masc'],,,não,deverbal,masculino,menos,sim,não,não,não,uniforme,
abre oportunidade pra outras           outas ca   carreiras,outas,substantivo,['Fem'],pronome,,-,-,-,-,-,-,-,-,-,
outras           outas ca   carreiras né           isso,carreiras,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
gente agora vai fazer um teste,teste,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
﻿                 sexo,﻿,substantivo,['Masc'],,,-,-,-,-,-,-,-,-,-,
sexo   escolaridade,sexo,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
escolaridade   Idade,escolaridade,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
sexo   escolaridade   Idade       boa tarde,Idade,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
escolaridade   Idade       boa tarde Lorena                       boa,tarde,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
qual o seu curso                       letras português francês,letras,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
qual sua ocupação                       estudante                         profissão dos,estudante,substantivo,['Masc'],,,não,comum,masculino e feminino,mais,não,não,sim,não,uniforme,
pais                       meu pai é servidor público policial militar,servidor,substantivo,['Masc'],,,não,comum,masculino,mais,não,não,não,não,biforme,
auxílio estudantil                       não                         número do celular,número,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
vida social                         ativa                       ten   tenho tenho,ten,substantivo,['Masc'],,,-,-,-,-,-,-,-,-,-,
gosto mais de ficar                       sozinha                                                  você costuma,sozinha,substantivo,['Fem'],adjetivo,,-,-,-,-,-,-,-,-,-,
falar como é                       eu encontro meus amigos todo,encontro,substantivo,['Masc'],verbo,,-,-,-,-,-,-,-,-,-,
do tempo assim f   conversa muito                       e,conversa,substantivo,['Fem'],verbo,,-,-,-,-,-,-,-,-,-,
senão vai pro parque da Sementeira sempre assim todo,Sementeira,substantivo,['Fem'],,,não,nome próprio,feminino,menos,sim,não,não,,uniforme,
gente sempre vai mas que quan   quando eu,quan,substantivo,['Fem'],,,-,-,-,-,-,-,-,-,-,
você falou parque da Sementeira qua   quais são,qua,substantivo,['Fem'],,,-,-,-,-,-,-,-,-,-,
gosta de ir pra o shopping também                       e,shopping,substantivo,['Masc'],,,não,estrangeirismo,masculino,menos,sim,não,não,não,uniforme,
o seu gênero                       sou mulher                                                  e idade,mulher,substantivo,['Fem'],,,não,comum,feminino,mais,sim,não,não,sim,uniforme,homem
e idade                       dezoito                         desculpa era tava lá,desculpa,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
tava lá em cima a pergunta                                                 se você,pergunta,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
você acha que pelo fato de seu pai,fato,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
isso te proporciona uma maior segurança                                              não,segurança,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
tenho uma segurança maior é tanto que eu já,tanto,substantivo,['Masc'],?,,-,-,-,-,-,-,-,-,-,
fui assaltada n   na porta da minha casa,porta,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
maior por causa por ser filha de policial militar,filha,substantivo,['Fem'],,,não,comum,feminino,mais,não,sim,não,não,biforme,
causa por ser filha de policial militar                         ah,policial,substantivo,['Masc'],,,não,comum,masculino e feminino,mais,não,não,sim,não,uniforme,
a sociedade agradece por policiais como ele,policiais,substantivo,['Masc'],,,não,comum,masculino e feminino,mais,não,não,sim,não,uniforme,
faz então assim                       a preocupação sempre tem né,preocupação,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
filha né e tem muitos casos de                       assassinatos,casos,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
tem muitos casos de                       assassinatos de policiais e,assassinatos,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
então isso me preocupa um pouco mas eu sei,pouco,substantivo,['Masc'],advérbio,,-,-,-,-,-,-,-,-,-,
mundo até pelos                       pelos meliantes                       porque assim,meliantes,substantivo,['Masc'],,,não,comum,masculino,mais,não,não,sim,não,uniforme,
errada só que por um conselho do meu pai,conselho,substantivo,['Masc'],,,não,deverbal,masculino,menos,sim,não,não,não,uniforme,
obrigada por você ter me dado aquele conselho eu,dado,substantivo,['Masc'],verbo,,-,-,-,-,-,-,-,-,-,
ele e hoje eu tou m   melhor tou,m,substantivo,['Masc'],,,-,-,-,-,-,-,-,-,-,
comentando essas coisas ele sente orgulho quando chega falando,orgulho,substantivo,['Masc'],,,não,deverbal,masculino,menos,sim,não,não,não,uniforme,
o trabalho dele como um filho pequeno perguntaria,filho,substantivo,['Masc'],,,não,comum,masculino,mais,não,sim,não,não,biforme,
então você tem um bom relacionamento tanto com seu,relacionamento,substantivo,['Masc'],,,não,deverbal,masculino,menos,sim,não,não,não,uniforme,
que tem pessoas agradáveis no mun   desagradáveis no,mun,substantivo,['Masc'],,,-,-,-,-,-,-,-,-,-,
eu me sinto bem comigo mesma eu me,comigo,substantivo,['Masc'],pronome,,-,-,-,-,-,-,-,-,-,
que bom e essa esse mo   seu jeito,mo,substantivo,['Masc'],,,-,-,-,-,-,-,-,-,-,
ser vem muito da sua criação   sua mãe,criação,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
dizer que eu sou a cópia dela                       porque,cópia,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
mais solta assim que faço amizade rápido                       só,amizade,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
tem outros três irmãos são meninas meninos                       são,meninas,substantivo,['Fem'],,,não,comum,feminino,mais,não,sim,não,não,biforme,
outros três irmãos são meninas meninos                       são duas,meninos,substantivo,['Masc'],,,não,comum,masculino,mais,não,sim,não,não,biforme,
pai                       tanto na na aparência quanto no jeito,aparência,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
tão                       tão como uma discussão normal assim aí,discussão,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
que o jeito deles o temperamento é parecido,temperamento,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
olhe ninguém se estresse por favor que senão,favor,substantivo,['Masc'],,,-,-,-,-,-,-,-,-,-,
o mesmo jeito turrão os t   os quatro,t,substantivo,['Masc'],,,-,-,-,-,-,-,-,-,-,
você é a mais apaziguadora você e sua mãe,você,substantivo,['Fem'],pronome,,-,-,-,-,-,-,-,-,-,
eu viajei                          há uns dias atrás e,dias,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
aí a minha outra irmã                       mandou mensagem,irmã,substantivo,['Fem'],,,não,comum,feminino,mais,não,sim,não,não,biforme,
minha outra irmã                       mandou mensagem pra mim,mensagem,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
sempre paro assim eles da briga                                                   você é,briga,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
que eu                         mas assim vocês têm uma boa,vocês,substantivo,['Masc'],pronome,,-,-,-,-,-,-,-,-,-,
assim vocês têm uma boa relação   em casa,relação,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
somos                           somos muito brin                            a gente,brin,substantivo,['Masc'],,,-,-,-,-,-,-,-,-,-,
quando a gente vai comprar pão                       ou comprar,pão,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
aí                       vai as três juntas porque sabe que,juntas,substantivo,['Fem'],adjetivo,,-,-,-,-,-,-,-,-,-,
sabe que                       vai ter brincadeira até no meio,brincadeira,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
porque não vive em conflito né   é,conflito,substantivo,['Masc'],,,não,deverbal,masculino,menos,sim,não,não,não,uniforme,
t   estar em um lar em que cê,lar,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
eu ten   minha melhor amiga ela não tem,amiga,substantivo,['Fem'],,,não,comum,feminino,mais,não,sim,não,não,biforme,
pai ela não teria esse pensamento de querer,pensamento,substantivo,['Masc'],,,não,deverbal,masculino,menos,sim,não,não,não,uniforme,
pra construir a sua                                                                           barulho ao fundo,barulho,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
a sua                                                                           barulho ao fundo                          seus pais,fundo,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
se conheceram em um                       showmício que é era,showmício,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
era um show de uma banda e depois t,banda,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
t   ia ter um comício de um político,comício,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
ter um comício de um político lá                       e,político,substantivo,['Masc'],,,não,comum,masculino,mais,não,sim,não,não,biforme,
nunca mais quiseram ficar um longe do outro,longe,substantivo,['Masc'],advérbio,,-,-,-,-,-,-,-,-,-,
contam essas his   essa história a vocês,história,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
contam muita his   muitas histórias assim tanto,histórias,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
deles se conhecerem   as aventuras   como eles,aventuras,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
ou com os irmãos ou sozinhos mesmo                                                 o,sozinhos,substantivo,['Masc'],adjetivo,,-,-,-,-,-,-,-,-,-,
a praia                       os pontos turísticos né no,pontos,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
da Sementeira que eu sou fã também                       e,fã,substantivo,['Masc'],,,não,comum,masculino e feminino,mais,não,não,sim,não,uniforme,
muitas ma   eventos de manifestação cultural shows na,manifestação,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
eventos de manifestação cultural shows na cidade,shows,substantivo,['Masc'],,,não,estrangeirismo,masculino,menos,sim,não,não,não,uniforme,
é                       é uma quantidade boa de eventos,quantidade,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
assim quando é aquela feirinha                       a feira,feirinha,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
é aquela feirinha                       a feira de Sergipe,feira,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
porque eu moro numa ladeirinha assim descendo aí,ladeirinha,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
trás mais pra baixo tem boca de fumo,boca,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
pra baixo tem boca de fumo                       aí às,fumo,substantivo,['Masc'],,,não,deverbal,masculino,menos,sim,não,não,não,uniforme,
mesmo desceram qua   cinco carros de polícia pra,carros,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
se não fosse o policiamento                       que melhorou,policiamento,substantivo,['Masc'],,,não,deverbal,masculino,menos,sim,não,não,não,uniforme,
às vezes a gente vê movimentação uma movimentação estranha,movimentação,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
né                       aí     n   é muito,n,substantivo,['Masc'],,,-,-,-,-,-,-,-,-,-,
um um dia tava                       super calmo super,super,substantivo,['Masc'],advérbio,,-,-,-,-,-,-,-,-,-,
todo mundo tava numa boa convivência e d,convivência,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
foi um acabou sendo um susto pra gente sabe,susto,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
tava conversando assim minha minha colega tava com o,colega,substantivo,['Masc'],,,não,comum,feminino,mais,não,não,sim,não,uniforme,
o celular dela no no colo                       eu tava,colo,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
chegaram dois caras de moto numa moto,moto,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
achou até que era o namorado dessa minha colega,namorado,substantivo,['Masc'],,,não,comum,masculino,mais,não,sim,não,não,biforme,
do lado                       porque as características sabe negro e,características,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
fiz   ah deixe de graça   e tal,graça,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
assim aí eu   meu deus é verdade,deus,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
tavam de moto ele de pé n   não,pé,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
aí ela contou pra avó eu contei pro,avó,substantivo,['Fem'],,,não,comum,feminino,mais,não,não,não,não,biforme,
ele tava de                       bicicleta com o outro,bicicleta,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
pedalando e ele no quadro da bicicleta,quadro,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
o colega dele fez a volta na rótula,volta,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
dele fez a volta na rótula                       e foi,rótula,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
debochado aí só mostrou a carteirinha   assim,carteirinha,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
eu encontrei                       os dois assaltantes                                                no Bugio,assaltantes,substantivo,['Masc'],,,não,comum,masculino,mais,não,não,sim,não,uniforme,
Bugio eu tinha ido pra igreja                       aí eu,igreja,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
aí                       depois eu fiquei parada assim eles foram,parada,substantivo,['Fem'],verbo,,-,-,-,-,-,-,-,-,-,
foram embora eu nem vi pr   pra que,pr,substantivo,['Masc'],,,-,-,-,-,-,-,-,-,-,
assustada                       fiquei assustada de novo                       foi,novo,substantivo,['Masc'],locução adverbial,,-,-,-,-,-,-,-,-,-,
alguma coisa assim pra tirar satisfação por eu ter,satisfação,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
an   eu tinha uma visão das pe,visão,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
que                       fazem as suas graças mas é só,graças,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
tá no grupo da da turma assim                       aí,turma,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
nunca vai ver ela tirando onda com ninguém nem,onda,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
onda com ninguém nem fazendo arruaça cê sempre vai,arruaça,substantivo,['Masc'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
é                       um pouco co   é um,co,substantivo,['Masc'],,,-,-,-,-,-,-,-,-,-,
que eu vim fazer minha matrícula eu cheguei eu,matrícula,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
eu cheguei eu fiz   Vitória aqui tem secretária,Vitória,substantivo,['Fem'],,,não,nome próprio,feminino,mais,sim,não,não,não,uniforme,
fiz   Vitória aqui tem secretária                             porque eu,secretária,substantivo,['Fem'],,,não,comum,feminino,mais,não,sim,não,não,biforme,
aqui vai ter a reitoria vai ter o,reitoria,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
na secretária ou tudo na coordenação                       e aqui,coordenação,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
então é só você ter coragem pra ir lá,coragem,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
vezes eu tinha ido no horário de almoço,horário,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
tinha ido no horário de almoço                       aí eles,almoço,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
não vou mais fazer esse negócio                        não quero,negócio,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
a gente conseguiu resolver                            rapidinho viu Lorena,rapidinho,substantivo,['Masc'],advérbio,,-,-,-,-,-,-,-,-,-,
né                       é tem uma moça que eu não,moça,substantivo,['Fem'],,,não,comum,feminino,mais,não,sim,não,sim,biforme,rapaz
eu fiquei                       com gastura de caminhar tanto,gastura,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
porque aqui também é calor aí pra ir,calor,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
distantes que aquele viu                       rapaz eu vi um,rapaz,substantivo,['Masc'],,,não,comum,masculino,mais,sim,não,não,sim,uniforme,moça
rapaz eu vi um mapa da que,mapa,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
mapa da que                       os veteranos mandaram pra gente,veteranos,substantivo,['Masc'],,,não,impróprio,masculino,mais,não,sim,não,não,biforme,
esse tal de é na metade do caminho,metade,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
de é na metade do caminho                            a rádio,caminho,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
metade do caminho                            a rádio mesmo                       eu,rádio,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
mesmo                       eu olhei a rádio é muito longe,rádio,substantivo,['Masc'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
você teve uma boa recepção no seu curso,recepção,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
assim e francês espanhol e inglês eles se juntaram,inglês,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
docente eles falaram das                       dificuldades que eles passaram,dificuldades,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
o contato deles pra qualquer ajuda que a gente,ajuda,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
precisassem                       eles falaram da sala do também,sala,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
iam                       só falar umas coisinhas lá e iam,coisinhas,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
mesmo da gente começar as aulas                       a,aulas,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
vá passando pra os calouros que vocês conhecem,calouros,substantivo,['Masc'],,,não,comum,masculino,mais,não,sim,não,não,biforme,
calouros que vocês conhecem a agenda da semana porque,agenda,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
o lu   o local que vocês que,local,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
tal dia o                       a apresentação dos professores tal,apresentação,substantivo,['Fem'],,,não,deverbal,feminino,menos,sim,não,não,não,uniforme,
aí eles eles fizeram um cronograma                       e mandaram,cronograma,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
um cronograma                       e mandaram algl   o pessoal,algl,substantivo,['Masc'],,,-,-,-,-,-,-,-,-,-,
aí eles também mandaram nesses grupos                       foi,grupos,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
cê participou de todos os encontros                       no na,encontros,substantivo,['Masc'],,,não,deverbal,masculino,menos,sim,não,não,não,uniforme,
no na segunda e na terça eu não vim,terça,substantivo,['Fem'],?,,-,-,-,-,-,-,-,-,-,
vim na q   quarta quinta e sexta eu,quinta,substantivo,['Fem'],?,,-,-,-,-,-,-,-,-,-,
q   quarta quinta e sexta eu vim,sexta,substantivo,['Fem'],?,,-,-,-,-,-,-,-,-,-,
e na terça eu com certeza teria vindo,certeza,substantivo,['Fem'],locução adverbial,,-,-,-,-,-,-,-,-,-,
enriquecedor porque você come   con   já conhece,con,substantivo,['Masc'],,,-,-,-,-,-,-,-,-,-,
eu eles falaram das das extensões                       né do,extensões,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
extensões                       né do das bolsas que tem e,bolsas,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
em quando ir pra uma extensão assim ir pra,extensão,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
extensão assim ir pra um evento que ia ter,evento,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
que eles falaram   ao longo do curso é,longo,substantivo,['Masc'],advérbio,,-,-,-,-,-,-,-,-,-,
extensão que vai ter sobre plágio                       eu assim,plágio,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
me interessei pelo                       pelo tema do                       do,tema,substantivo,['Masc'],,,não,comum,masculino,menos,sim,não,não,não,uniforme,
eu não lembro ao certo                       mas,certo,substantivo,['Masc'],advérbio,,-,-,-,-,-,-,-,-,-,
pode se atualizar sempre tem notícias no site da,notícias,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
atualizar sempre tem notícias no site da também,site,substantivo,['Masc'],,,não,estrangeirismo,masculino,menos,sim,não,não,não,uniforme,
a pro   minha professora de francês instrumental,professora,substantivo,['Fem'],,,não,comum,feminino,mais,não,sim,não,não,biforme,
eu n   é sobre música                       ela falou,música,substantivo,['Fem'],,,não,comum,feminino,menos,sim,não,não,não,uniforme,
